"route_id","route_id.1","valley.metro.survey.ID","route_type","route_name","total_c","white_c","black_c","asian_c","latino_c","other_c","poc_c","male_c","female_c","pct_white_c","pct_black_c","pct_asian_c","pct_latino_c","pct_other_c","pct_poc_c","totalhhs_c","totalhhs_cv_c","below15k_c","below15k_cv_c","below15k_prop_c","below15k_prop_moe_c","below20k_c","below20k_cv_c","below20k_prop_c","below20k_prop_moe_c","below25k_c","below25k_cv_c","below25k_prop_c","below25k_prop_moe_c","above50k_c","above50k_cv_c","above50k_prop_c","above50k_prop_moe_c","above100k_c","above100k_cv_c","above100k_prop_c","above100k_prop_moe_c","total_r","white_r","black_r","aisan_r","amerindian_r","latino_r","other_r","poc_r","pct_white_r","pct_black_r","pct_asian_r","pct_amerindian_r","pct_latino_r","pct_other_r","pct_poc_r","below15_r","below20_r","below25_r","above50_r","above100_r","below15k_prop_r","below20k_prop_r","below25k_prop_r","above50k_prop_r","above100k_prop_r","white_diff","black_diff","asian_diff","latino_diff","poc_diff","below15k_diff","below25k_diff","above50k_diff","id","ws","OBJECTID","Join_Count","TARGET_FID","id_num","CE01_r","CE02_r","CE03_r","CNS01_r","CNS02_r","CNS03_r","CNS04_r","CNS05_r","CNS06_r","CNS07_r","CNS08_r","CNS09_r","CNS10_r","CNS11_r","CNS12_r","CNS13_r","CNS14_r","CNS15_r","CNS16_r","CNS17_r","CNS18_r","CNS19_r","CNS20_r","CR01_r","CR02_r","CR03_r","CR04_r","CR05_r","CR07_r","CT01_r","CT02_r","CD01_r","CD02_r","CD03_r","CD04_r","CS01_r","CS02_r","CE01_w","CE02_w","CE03_w","CNS01_w","CNS02_w","CNS03_w","CNS04_w","CNS05_w","CNS06_w","CNS07_w","CNS08_w","CNS09_w","CNS10_w","CNS11_w","CNS12_w","CNS13_w","CNS14_w","CNS15_w","CNS16_w","CNS17_w","CNS18_w","CNS19_w","CNS20_w","CR01_w","CR02_w","CR03_w","CR04_w","CR05_w","CR07_w","CT01_w","CT02_w","CD01_w","CD02_w","CD03_w","CD04_w","CS01_w","CS02_w","Shape_Length","Shape_Area","wtdinc","mode_collapse","mode_collapse_f","midinc_c","totrid100","totjobs","cd01_1000","hiwagejobs","lowagejobs","hiwageshare","lowageshare","resdens","jobdens","lwjobdens","midinc_r","pct_midinc_c","midinc_prop_r","hdwy","trips"
"05192014download:74",74,"B_LINK","BRT","Valley Metro LINK - Arizona Ave.",13985,4837,776,290,7281,802,9149,7148,6837,0.346,0.056,0.021,0.521,0.057,0.654,5182,0.004,752.56,0.174,0.145,0.042,1136.743,0.142,0.219,0.051,1534.032,0.126,0.296,0.061,1885.494,0.104,0.364,0.062,490.639,0.208,0.095,0.032,1405,851,79,20,158,277,20,554,0.605633803,0.056338028,0.014084507,0.112676056,0.197183099,0.014084507,0.394366197,455.17,593.7,791.6,217.69,79.16,0.323943662,0.422535211,0.563380282,0.154929577,0.056338028,-0.26,-0.001,0.007,0.323,0.043,-0.179,-0.267,0.209,74,53.7307692307692,74,170,74,74,1289,2321,1371,35,9,21,288,380,208,632,145,88,262,113,254,58,535,388,584,119,553,150,159,4169,350,188,156,15,103,3135,1846,655,910,1163,803,2534,2447,3214,3981,2517,7,9,201,564,497,480,1933,73,57,422,959,588,4,1159,51,278,188,1463,515,264,8545,452,235,311,20,149,7234,2478,1044,1839,2235,1564,5591,4121,37194.7320645856,8167886.35000122,40148.6768868247,3,3,1762.474,1.405,9.712,1.044,1.071,5.258,0.110275947281713,0.541392092257002,17121.9326527455,11.8904690685352,6.43740592693141,593.61,0.340114627556928,0.422498220640569,46.35,22.25
"05192014download:90",90,"B_LINK","BRT","Mesa Main Street BRT",12680,7121,444,110,4484,521,5559,5937,6743,0.562,0.035,0.009,0.354,0.041,0.438,6375,0.004,1082.653,0.138,0.17,0.039,1714.443,0.11,0.269,0.049,2469.935,0.094,0.387,0.06,1715.645,0.111,0.269,0.049,301.469,0.278,0.047,0.022,1405,851,79,20,158,277,20,554,0.605633803,0.056338028,0.014084507,0.112676056,0.197183099,0.014084507,0.394366197,455.17,593.7,791.6,217.69,79.16,0.323943662,0.422535211,0.563380282,0.154929577,0.056338028,-0.044,-0.021,-0.005,0.156,0.027,-0.154,-0.176,0.114,90,58.3928571428571,90,328,90,90,963,1569,839,14,2,12,190,221,138,432,94,56,165,94,171,27,360,269,448,90,360,106,122,3002,153,79,77,8,52,2692,679,345,693,815,629,1695,1676,6887,6312,7664,5,6,0,302,200,182,1312,35,101,580,236,287,17,1212,11663,1648,12,1412,314,1339,19067,725,319,420,46,286,16803,4060,1688,3974,5605,5200,8207,12656,37376.542087456,8170904.96573952,34314.2779838678,3,3,2189.42,1.405,20.863,1.688,0.985,4.262,0.0472127690169199,0.204285098020419,15518.4769045376,25.5332794684043,5.21606849898573,593.61,0.343438431372549,0.422498220640569,23.9,45
"05192014download:38",38,"B_511","Express","Chandler-Scottsdale Airpark",2220,1561,128,106,326,100,659,1144,1076,0.703,0.058,0.048,0.147,0.045,0.297,531,0.013,82.425,0.421,0.155,0.107,98.276,0.393,0.185,0.119,138.451,0.357,0.261,0.153,274.063,0.231,0.516,0.196,130.311,0.346,0.245,0.139,17,12,0,0,0,5,0,5,0.714942529,0,0,0,0.285057471,0,0.285057471,0,0,0,9.92,0,0,0,0,0.570114943,0,-0.012,0.058,0.048,-0.138,0.045,0.155,0.261,-0.054,38,54,38,138,38,38,129,148,263,2,0,7,21,29,28,42,15,11,36,14,45,7,65,47,60,12,56,23,20,451,30,16,38,1,4,422,118,41,100,125,136,320,220,5957,9896,10510,19,6,2,605,2415,1204,2415,426,373,3068,596,1942,122,3761,270,4563,185,3005,449,937,22993,1360,517,1020,47,426,21674,4689,2162,4348,6273,6226,13268,13095,23370.8300582463,5682319.18377391,97165.8140051831,3,3,118.486,0.017,26.363,2.162,5.505,9.815,0.208815385198953,0.37230209005045,3906.85550776398,46.3947890771089,17.2728769408574,7.08,0.22313747645951,0.416470588235294,60.75,4
"05192014download:41",41,"B_520","Express","Tempe Express",21854,12773,2094,704,4800,1484,9081,12663,9191,0.584,0.096,0.032,0.22,0.068,0.416,8095,0.003,1523.525,0.119,0.188,0.037,2124.265,0.101,0.262,0.043,2785.483,0.088,0.344,0.05,3482.895,0.074,0.43,0.052,1118.69,0.12,0.138,0.027,85,81,0,0,0,0,4,4,0.954556157,0,0,0,0,0.045443843,0.045443843,6.067142857,15.99428571,19.85428571,49.09142857,20.40857143,0.071428571,0.188300986,0.233744828,0.577954186,0.240270443,-0.37,0.096,0.032,0.22,0.022,0.117,0.11,-0.148,41,66.9350649350649,41,403,41,41,2147,3233,2863,9,6,44,300,428,324,904,266,154,560,214,466,120,905,996,910,177,855,287,318,6900,645,234,305,20,139,6854,1389,661,1348,1868,1643,4516,3727,11776,29930,45785,14,1270,6861,1241,762,903,1741,226,2819,6412,1103,4608,464,3184,3093,1334,3589,5169,5184,37514,76096,5400,1964,2584,153,1294,67223,20268,6517,15921,26329,23626,45882,41609,29722.2781497627,11008895.718085,41232.3468584072,3,3,1826.622,0.085,87.491,6.517,14.303,18.867,0.163479672194854,0.215645037775314,19851.219013819,79.4730027792643,17.1379586864521,19.91428572,0.225648177887585,0.234285714352941,59,2
"05192014download:42",42,"B_521","Express","Tempe Express",16130,9545,1540,400,3727,919,6585,9505,6625,0.592,0.095,0.025,0.231,0.057,0.408,5407,0.004,951.379,0.138,0.176,0.04,1277.273,0.121,0.236,0.047,1498.543,0.112,0.277,0.051,2632.538,0.078,0.487,0.063,1084.109,0.117,0.2,0.039,198,158,0,18,0,23,0,40,0.796521301,0,0.089790774,0,0.113687925,0,0.203478699,0,0,0,154.4,57.02,0,0,0,0.778421981,0.287471641,-0.205,0.095,-0.065,0.117,0.057,0.176,0.277,-0.292,42,69.4745762711864,42,365,42,42,1391,2068,2141,7,15,42,200,328,240,547,174,117,372,132,333,91,588,600,644,127,544,210,289,4714,444,147,191,11,93,4578,1022,467,950,1395,1196,3090,2510,9275,27048,43999,5,1269,6832,992,593,842,855,126,2731,6267,978,4126,456,1302,558,1304,3174,4726,4979,38207,69736,5063,1726,2366,147,1284,61836,18486,5783,14575,24555,22401,42497,37825,26264.8456352873,9031002.83493775,48366.6262063432,3,3,1275.919,0.198,80.322,5.783,13.58,15.036,0.169069495281492,0.187196533950848,17860.6964196697,88.9402887675582,16.6493137858744,43.6,0.235975402256334,0.22020202020202,19.825,4
"05192014download:44",44,"B_531","Express","Mesa/Gilbert Express",10510,5542,1189,221,2956,601,4968,6633,3876,0.527,0.113,0.021,0.281,0.057,0.473,3149,0.005,672.376,0.156,0.214,0.055,928.414,0.131,0.295,0.063,1100.578,0.123,0.349,0.07,1348.207,0.103,0.428,0.073,485.614,0.159,0.154,0.04,299,195,5,0,11,89,0,104,0.651020408,0.015791235,0,0.036032118,0.29715624,0,0.348979592,37.03,41.75,41.75,149.45,43.08,0.123887588,0.139678822,0.139678822,0.5,0.144128471,-0.124,0.097,0.021,-0.016,0.057,0.09,0.21,-0.072,44,77.275,44,279,44,44,821,1094,1136,8,2,22,121,168,117,322,92,61,212,76,179,42,318,249,411,67,307,128,149,2471,294,85,139,5,57,2366,685,261,573,790,607,1672,1379,10381,28336,43965,5,1269,6840,1018,701,867,2988,142,2728,6271,948,4012,550,1193,508,1445,3528,5172,5123,37374,71929,5167,1762,2424,151,1249,63557,19125,6122,15038,25049,22353,43958,38724,23065.4562168282,7202985.8615834,41361.353101702,3,3,700.215,0.299,82.682,6.122,13.561,18.004,0.164013932899543,0.21774993348008,14591.1712197775,114.788507972754,24.9951899753448,107.8,0.222361067005399,0.360535117056856,22,6
"05192014download:45",45,"B_533","Express","Mesa Express",6580,3123,988,135,1935,400,3457,4714,1866,0.475,0.15,0.02,0.294,0.061,0.525,1494,0.007,484.691,0.178,0.324,0.095,673.974,0.15,0.451,0.111,754.95,0.145,0.505,0.121,455.041,0.168,0.305,0.084,178.51,0.242,0.119,0.048,367,302,23,0,6,35,0,65,0.823635322,0.062552855,0,0.017377309,0.096434515,0,0.176364678,14.65037037,21.02074074,37.90148148,245.237037,58.60148148,0.039965002,0.057342847,0.103392115,0.668986407,0.159860007,-0.349,0.088,0.02,0.198,0.061,0.284,0.402,-0.364,45,80.7,45,212,45,45,511,596,557,3,2,8,58,58,60,158,52,36,121,44,102,26,209,130,195,38,178,89,97,1314,206,58,55,4,27,1304,360,155,318,429,291,997,667,8929,26348,42578,5,1269,6832,784,569,670,529,94,2728,6140,981,3792,456,1096,486,983,3157,4960,4959,37365,67636,4954,1662,2276,143,1184,59824,18031,5611,14057,23901,21543,41081,36774,13148.1843862195,4615043.32236364,31855.4077843922,3,3,284.009,0.367,77.855,5.611,13.116,14.701,0.168467022028129,0.18882538051506,14257.7209798108,168.698308036956,31.8545222073251,100.74222226,0.190099732262383,0.274501968010899,27.3,6
"05192014download:46",46,"B_535","Express","Red Mountain-Downtown Express",6820,3326,993,126,1961,414,3495,4838,1983,0.488,0.146,0.019,0.288,0.061,0.512,1525,0.007,487.743,0.178,0.32,0.093,669.477,0.149,0.439,0.108,750.862,0.144,0.492,0.117,517.017,0.157,0.339,0.088,213.48,0.228,0.14,0.052,152,138,15,0,0,0,0,15,0.904480357,0.095519643,0,0,0,0,0.095519643,0,0,22.72,129.5,63.16,0,0,0.149257653,0.850742347,0.414925765,-0.417,0.05,0.019,0.288,0.061,0.32,0.343,-0.512,46,78.5483870967742,46,219,46,46,525,606,579,3,2,7,59,59,67,164,52,37,125,44,108,26,213,135,196,42,184,89,98,1358,207,58,56,4,27,1349,361,155,325,445,298,1019,691,8686,26174,42498,5,1269,6832,784,585,683,500,94,2734,6131,894,3909,458,906,483,1000,3185,4539,5007,37360,67203,4905,1655,2274,144,1177,59467,17891,5571,14001,23845,21509,40843,36515,15676.1410565153,5123588.32099599,34755.2388414198,3,3,257.121,0.152,77.358,5.571,13.232,14.137,0.171048889578324,0.182747744253988,13310.9835777638,150.9840275086,27.5919904455787,22.5,0.16860393442623,0.148026315789474,25.85,5
"05192014download:47",47,"B_541","Express","Chandler Express",18243,9939,1560,510,5265,970,8304,10476,7767,0.545,0.085,0.028,0.289,0.053,0.455,5832,0.004,771.019,0.149,0.132,0.032,1085.183,0.124,0.186,0.038,1395.09,0.114,0.239,0.045,3093.13,0.074,0.53,0.064,1057.802,0.129,0.181,0.038,259,174,28,11,14,26,6,85,0.672016048,0.109327984,0.040583288,0.052696551,0.101149603,0.024226526,0.327983952,0,0,8.4,197.36,38.86,0,0,0.032404907,0.761361006,0.149911272,-0.127,-0.024,-0.013,0.187,0.029,0.132,0.207,-0.231,47,71.8571428571429,47,353,47,47,1691,2625,2675,22,13,53,305,500,312,752,216,141,468,160,394,86,701,650,817,146,712,253,290,5848,526,201,283,17,116,5494,1497,632,1304,1772,1463,3631,3360,11083,28813,44114,5,1269,6832,944,690,921,1685,135,2775,6349,1751,4500,551,1345,1024,1872,3230,5573,5171,37388,72909,5288,1845,2527,159,1282,64618,19392,6298,15258,25453,22629,44101,39909,33165.1818487194,10415612.4178554,51324.8873120566,3,3,1343.78,0.259,84.01,6.298,14.175,17.004,0.168729913105583,0.20240447565766,17515.052661451,80.6577632016936,16.3254922685585,61.64,0.230414951989026,0.237992277992278,36.45,4
"05192014download:48",48,"B_542","Express","Chandler Express",8399,3955,1213,223,2445,563,4444,5625,2774,0.471,0.144,0.027,0.291,0.067,0.529,2269,0.006,566.533,0.172,0.25,0.071,758.201,0.145,0.334,0.08,862.469,0.138,0.38,0.086,898.187,0.121,0.396,0.079,306.082,0.205,0.135,0.045,281,180,20,29,8,45,0,102,0.638545222,0.069325939,0.103988908,0.029650171,0.158489761,0,0.361454778,12.51,12.51,18.09,211.68,125.34,0.044475256,0.044475256,0.06431314,0.752559727,0.445605802,-0.168,0.075,-0.077,0.133,0.067,0.205,0.316,-0.357,48,75.90625,48,225,48,48,723,1089,952,9,2,11,102,125,112,298,100,53,204,66,163,41,332,219,331,67,284,120,125,2159,332,117,105,6,45,2098,666,256,491,709,486,1532,1232,8479,25984,42605,5,1269,6832,784,569,679,746,102,2723,6105,893,3790,456,933,483,979,3157,4260,4944,37359,66944,4897,1653,2260,143,1171,59211,17857,5539,14001,23801,21482,40821,36247,18204.097726811,5632133.31962833,37297.8268762691,3,3,508.344,0.281,77.068,5.539,13.074,14.04,0.169642393730212,0.182176778948461,14912.6441498268,136.836249474801,24.9283871727073,56.81,0.224038783605112,0.202170818505338,19,6
