route_id,route_id,valley metro survey ID,route_type,route_name,total_c,white_c,black_c,asian_c,latino_c,other_c,poc_c,male_c,female_c,pct_white_c,pct_black_c,pct_asian_c,pct_latino_c,pct_other_c,pct_poc_c,totalhhs_c,totalhhs_cv_c,below15k_c,below15k_cv_c,below15k_prop_c,below15k_prop_moe_c,below20k_c,below20k_cv_c,below20k_prop_c,below20k_prop_moe_c,below25k_c,below25k_cv_c,below25k_prop_c,below25k_prop_moe_c,above50k_c,above50k_cv_c,above50k_prop_c,above50k_prop_moe_c,above100k_c,above100k_cv_c,above100k_prop_c,above100k_prop_moe_c,total_r,white_r,black_r,aisan_r,amerindian_r,latino_r,other_r,poc_r,pct_white_r,pct_black_r,pct_asian_r,pct_amerindian_r,pct_latino_r,pct_other_r,pct_poc_r,below15_r,below20_r,below25_r,above50_r,above100_r,below15k_prop_r,below20k_prop_r,below25k_prop_r,above50k_prop_r,above100k_prop_r,white_diff,black_diff,asian_diff,latino_diff,poc_diff,below15k_diff,below25k_diff,above50k_diff
05192014download:74,74,B_LINK,BRT,Valley Metro LINK - Arizona Ave.,13985,4837,776,290,7281,802,9149,7148,6837,0.346,0.056,0.021,0.521,0.057,0.654,5182,0.004,752.560,0.174,0.145,0.042,1136.743,0.142,0.219,0.051,1534.032,0.126,0.296,0.061,1885.494,0.104,0.364,0.062,490.639,0.208,0.095,0.032,1405,851,79,20,158,277,20,554,0.605633803,0.056338028,0.014084507,0.112676056,0.197183099,0.014084507,0.394366197,455.17,593.7,791.6,217.69,79.16,0.323943662,0.422535211,0.563380282,0.154929577,0.056338028,-0.260,-0.001,0.007,0.323,0.043,-0.179,-0.267,0.209
05192014download:90,90,B_LINK,BRT,Mesa Main Street BRT,12680,7121,444,110,4484,521,5559,5937,6743,0.562,0.035,0.009,0.354,0.041,0.438,6375,0.004,1082.653,0.138,0.170,0.039,1714.443,0.110,0.269,0.049,2469.935,0.094,0.387,0.060,1715.645,0.111,0.269,0.049,301.469,0.278,0.047,0.022,1405,851,79,20,158,277,20,554,0.605633803,0.056338028,0.014084507,0.112676056,0.197183099,0.014084507,0.394366197,455.17,593.7,791.6,217.69,79.16,0.323943662,0.422535211,0.563380282,0.154929577,0.056338028,-0.044,-0.021,-0.005,0.156,0.027,-0.154,-0.176,0.114
05192014download:38,38,B_511,Express,Chandler-Scottsdale Airpark,2220,1561,128,106,326,100,659,1144,1076,0.703,0.058,0.048,0.147,0.045,0.297,531,0.013,82.425,0.421,0.155,0.107,98.276,0.393,0.185,0.119,138.451,0.357,0.261,0.153,274.063,0.231,0.516,0.196,130.311,0.346,0.245,0.139,17,12,0,0,0,5,0,5,0.714942529,0,0,0,0.285057471,0,0.285057471,0,0,0,9.92,0,0,0,0,0.570114943,0,-0.012,0.058,0.048,-0.138,0.045,0.155,0.261,-0.054
05192014download:41,41,B_520,Express,Tempe Express,21854,12773,2094,704,4800,1484,9081,12663,9191,0.584,0.096,0.032,0.220,0.068,0.416,8095,0.003,1523.525,0.119,0.188,0.037,2124.265,0.101,0.262,0.043,2785.483,0.088,0.344,0.050,3482.895,0.074,0.430,0.052,1118.690,0.120,0.138,0.027,85,81,0,0,0,0,4,4,0.954556157,0,0,0,0,0.045443843,0.045443843,6.067142857,15.99428571,19.85428571,49.09142857,20.40857143,0.071428571,0.188300986,0.233744828,0.577954186,0.240270443,-0.370,0.096,0.032,0.220,0.022,0.117,0.110,-0.148
05192014download:42,42,B_521,Express,Tempe Express,16130,9545,1540,400,3727,919,6585,9505,6625,0.592,0.095,0.025,0.231,0.057,0.408,5407,0.004,951.379,0.138,0.176,0.040,1277.273,0.121,0.236,0.047,1498.543,0.112,0.277,0.051,2632.538,0.078,0.487,0.063,1084.109,0.117,0.200,0.039,198,158,0,18,0,23,0,40,0.796521301,0,0.089790774,0,0.113687925,0,0.203478699,0,0,0,154.4,57.02,0,0,0,0.778421981,0.287471641,-0.205,0.095,-0.065,0.117,0.057,0.176,0.277,-0.292
05192014download:44,44,B_531,Express,Mesa/Gilbert Express,10510,5542,1189,221,2956,601,4968,6633,3876,0.527,0.113,0.021,0.281,0.057,0.473,3149,0.005,672.376,0.156,0.214,0.055,928.414,0.131,0.295,0.063,1100.578,0.123,0.349,0.070,1348.207,0.103,0.428,0.073,485.614,0.159,0.154,0.040,299,195,5,0,11,89,0,104,0.651020408,0.015791235,0,0.036032118,0.29715624,0,0.348979592,37.03,41.75,41.75,149.45,43.08,0.123887588,0.139678822,0.139678822,0.5,0.144128471,-0.124,0.097,0.021,-0.016,0.057,0.090,0.210,-0.072
05192014download:45,45,B_533,Express,Mesa Express,6580,3123,988,135,1935,400,3457,4714,1866,0.475,0.150,0.020,0.294,0.061,0.525,1494,0.007,484.691,0.178,0.324,0.095,673.974,0.150,0.451,0.111,754.950,0.145,0.505,0.121,455.041,0.168,0.305,0.084,178.510,0.242,0.119,0.048,367,302,23,0,6,35,0,65,0.823635322,0.062552855,0,0.017377309,0.096434515,0,0.176364678,14.65037037,21.02074074,37.90148148,245.237037,58.60148148,0.039965002,0.057342847,0.103392115,0.668986407,0.159860007,-0.349,0.088,0.020,0.198,0.061,0.284,0.402,-0.364
05192014download:46,46,B_535,Express,Red Mountain-Downtown Express,6820,3326,993,126,1961,414,3495,4838,1983,0.488,0.146,0.019,0.288,0.061,0.512,1525,0.007,487.743,0.178,0.320,0.093,669.477,0.149,0.439,0.108,750.862,0.144,0.492,0.117,517.017,0.157,0.339,0.088,213.480,0.228,0.140,0.052,152,138,15,0,0,0,0,15,0.904480357,0.095519643,0,0,0,0,0.095519643,0,0,22.72,129.5,63.16,0,0,0.149257653,0.850742347,0.414925765,-0.417,0.050,0.019,0.288,0.061,0.320,0.343,-0.512
05192014download:47,47,B_541,Express,Chandler Express,18243,9939,1560,510,5265,970,8304,10476,7767,0.545,0.085,0.028,0.289,0.053,0.455,5832,0.004,771.019,0.149,0.132,0.032,1085.183,0.124,0.186,0.038,1395.090,0.114,0.239,0.045,3093.130,0.074,0.530,0.064,1057.802,0.129,0.181,0.038,259,174,28,11,14,26,6,85,0.672016048,0.109327984,0.040583288,0.052696551,0.101149603,0.024226526,0.327983952,0,0,8.4,197.36,38.86,0,0,0.032404907,0.761361006,0.149911272,-0.127,-0.024,-0.013,0.187,0.029,0.132,0.207,-0.231
05192014download:48,48,B_542,Express,Chandler Express,8399,3955,1213,223,2445,563,4444,5625,2774,0.471,0.144,0.027,0.291,0.067,0.529,2269,0.006,566.533,0.172,0.250,0.071,758.201,0.145,0.334,0.080,862.469,0.138,0.380,0.086,898.187,0.121,0.396,0.079,306.082,0.205,0.135,0.045,281,180,20,29,8,45,0,102,0.638545222,0.069325939,0.103988908,0.029650171,0.158489761,0,0.361454778,12.51,12.51,18.09,211.68,125.34,0.044475256,0.044475256,0.06431314,0.752559727,0.445605802,-0.168,0.075,-0.077,0.133,0.067,0.205,0.316,-0.357
