OBJECTID,Join_Count,TARGET_FID,route_id,id_num,CE01_r,CE02_r,CE03_r,CNS01_r,CNS02_r,CNS03_r,CNS04_r,CNS05_r,CNS06_r,CNS07_r,CNS08_r,CNS09_r,CNS10_r,CNS11_r,CNS12_r,CNS13_r,CNS14_r,CNS15_r,CNS16_r,CNS17_r,CNS18_r,CNS19_r,CNS20_r,CR01_r,CR02_r,CR03_r,CR04_r,CR05_r,CR07_r,CT01_r,CT02_r,CD01_r,CD02_r,CD03_r,CD04_r,CS01_r,CS02_r,CE01_w,CE02_w,CE03_w,CNS01_w,CNS02_w,CNS03_w,CNS04_w,CNS05_w,CNS06_w,CNS07_w,CNS08_w,CNS09_w,CNS10_w,CNS11_w,CNS12_w,CNS13_w,CNS14_w,CNS15_w,CNS16_w,CNS17_w,CNS18_w,CNS19_w,CNS20_w,CR01_w,CR02_w,CR03_w,CR04_w,CR05_w,CR07_w,CT01_w,CT02_w,CD01_w,CD02_w,CD03_w,CD04_w,CS01_w,CS02_w,Shape_Length,Shape_Area
1,394,1,05192014download:1,1,991,1457,865,11,5,21,165,189,152,306,109,56,187,75,167,38,460,254,347,67,385,167,152,2631,414,123,82,9,54,2056,1257,461,617,760,483,1968,1345,11792,31445,47071,10,1280,6832,2162,1770,1926,1353,180,2970,6162,1017,4213,527,2422,479,3512,3661,5310,5328,39194,78328,5807,2041,2607,177,1348,68048,22260,7434,16762,27177,23818,49019,41289,28764.762463884435000,11848452.454595590000000
2,634,2,05192014download:2,2,3650,6041,3377,69,19,53,681,735,548,1392,471,237,794,295,664,153,1601,885,1529,246,1663,477,556,10925,1104,437,341,35,226,7144,5924,2070,2337,2767,2010,7118,5950,11883,26545,36122,8,1271,958,1810,999,2162,1383,719,3258,10152,1784,4890,285,11609,299,6314,2827,3454,2690,17678,64691,4784,1389,2388,156,1142,56306,18244,6671,13106,20792,18932,38522,36028,65380.712810363482000,22844259.723789193000000
3,409,3,05192014download:3,3,3032,5058,4115,63,24,79,581,998,528,1516,383,211,723,271,644,131,1186,1076,1505,266,1246,382,392,10344,778,369,459,25,230,9023,3182,1245,2241,3000,2361,6140,6065,6643,7514,5637,6,8,195,496,293,488,3927,103,413,1120,495,1253,22,1575,760,2718,344,3236,917,1425,17177,909,610,720,42,336,15238,4556,1965,3538,4609,3504,9744,10050,42774.593275883548000,15748143.628932495000000
4,877,4,05192014download:4,4,5679,9232,6980,113,32,174,1040,1123,919,2645,705,408,1304,429,1227,257,2112,1842,3213,449,2115,722,1062,19199,1289,496,541,47,319,16193,5698,2347,4297,5611,4432,10887,11004,11021,15609,10333,4,29,5,1670,1057,1218,8133,116,149,1034,372,1306,277,2508,1638,10250,1267,3042,2701,187,31890,2201,741,1489,75,567,28294,8669,3790,6713,8950,6524,16498,20465,83277.895946145421000,31689987.514508508000000
5,635,5,05192014download:5,5,4680,7454,10293,35,36,180,951,1905,1115,2458,794,481,1581,482,1369,313,1924,2133,2766,464,1954,602,884,19439,1130,392,1071,41,354,19009,3418,1755,4020,5735,5434,11576,10851,6949,10257,8187,9,231,2,1425,788,801,4441,183,397,1251,440,2557,390,4141,707,2037,814,3828,814,137,22064,1345,520,994,51,419,20341,5052,2174,4467,6063,4667,12910,12483,97551.250837978019000,32339469.483161151000000
6,420,6,05192014download:6,6,3161,5381,3394,77,21,59,640,895,494,1530,346,191,679,251,590,113,1226,1032,1475,287,1299,344,387,10013,762,461,433,36,231,7749,4187,1479,2118,2766,2057,6013,5923,4900,6786,7218,10,6,202,863,934,768,3741,323,56,480,1170,829,860,1195,246,1328,282,2097,762,2752,16919,794,390,488,27,286,14593,4311,1841,3587,4865,3626,11406,7498,44269.706771310062000,15666649.556086149000000
7,478,7,05192014download:7,7,3138,5594,4663,62,27,89,551,604,552,1300,408,281,867,294,851,167,1494,1137,1900,246,1420,495,650,11652,790,416,320,32,185,9607,3788,1556,2427,3342,2767,6892,6503,5503,10885,12291,32,3,0,547,53,617,1455,66,391,552,290,1074,2355,1807,168,14777,13,1617,883,1979,24645,1696,557,1267,68,446,22235,6444,2630,5198,8358,7048,10762,17917,36439.057813116029000,13884706.977120465000000
8,190,8,05192014download:8,8,1538,2516,1371,29,7,20,318,366,204,696,191,101,256,128,232,68,625,452,663,140,584,159,186,4786,299,184,64,19,73,3555,1870,700,988,1242,873,2836,2589,924,1952,2051,6,3,361,607,151,55,489,27,3,282,352,111,5,229,59,1783,0,240,131,33,4380,199,118,154,10,66,3709,1218,528,982,1256,987,2822,2105,18420.820670935776000,6522935.888826142100000
9,183,9,05192014download:9,9,1361,2464,1664,27,5,45,294,320,259,645,175,94,311,111,314,79,575,513,736,94,528,141,223,4706,324,124,242,14,79,4168,1321,615,1064,1332,1074,2743,2746,798,989,420,0,0,0,43,17,26,346,3,13,48,74,54,81,68,208,929,8,267,14,8,1953,120,32,72,2,28,1613,594,262,434,515,382,907,1300,16235.803037492899000,5769876.418537055100000
10,203,10,05192014download:10,10,1228,1894,1433,13,4,31,252,317,176,518,143,65,253,77,245,66,449,524,542,119,461,138,162,4114,163,98,110,13,57,3387,1168,500,886,1114,878,2282,2273,1379,1940,1316,0,3,3,331,61,65,1140,26,115,393,292,412,83,287,51,477,19,730,124,23,4165,135,108,160,7,60,3600,1035,477,887,1031,843,2291,2344,19595.238601075318000,7012044.073269680100000
11,291,11,05192014download:11,11,1024,1727,455,25,8,12,212,304,187,334,127,44,128,87,100,25,417,172,349,51,357,130,137,2622,317,130,81,10,46,1008,2198,678,543,598,307,1733,1473,3128,14547,12285,0,3,1,546,1102,3603,2340,11167,42,6119,458,334,316,309,112,276,5,1414,1750,63,25090,2625,568,1079,114,484,21378,8582,3785,6785,8052,5472,16531,13429,48226.007041941550000,16604489.897180397000000
12,573,12,05192014download:12,12,3650,5137,5699,64,19,129,780,1230,586,1627,460,251,784,332,823,169,1313,1446,1867,340,1367,442,457,12936,629,218,422,43,238,11799,2687,1261,2677,3737,3239,7448,7038,4750,4762,6213,8,18,95,784,3777,522,1714,183,88,451,256,751,5,1361,513,1193,919,1723,365,999,14064,658,236,510,31,226,12713,3012,1378,2949,3988,3222,8606,7119,74460.243466775064000,25829570.789897244000000
13,488,13,05192014download:13,13,3511,5985,5752,47,12,115,740,760,644,1849,448,306,1043,330,975,223,1450,1390,1962,315,1507,478,654,13625,661,237,447,35,243,12876,2372,1288,2822,3975,3455,7472,7776,2915,4909,3769,7,0,1,194,174,244,1992,59,32,355,169,927,148,238,800,4715,105,1080,304,49,10196,579,184,475,17,142,9244,2349,928,2022,3110,2382,4560,7033,48903.639952507503000,17141242.787530068000000
14,341,14,05192014download:14,14,1826,2880,2344,20,18,47,315,326,280,628,253,119,447,164,457,89,853,610,917,138,678,264,427,5772,634,292,201,14,137,5011,2039,801,1310,1797,1435,3859,3191,7814,23090,32873,13,1269,960,810,1019,445,2144,41,2550,6272,937,3182,175,921,916,1340,2799,3360,2113,32511,55003,4478,1263,1919,124,990,47988,15789,5033,11834,19700,16167,32482,31295,24337.024942070642000,9236138.318476885600000
15,466,15,05192014download:15,15,2968,5176,5605,26,17,113,597,681,605,1548,353,262,1038,326,970,228,1308,1224,1949,268,1268,451,517,12282,584,214,474,19,176,11612,2137,1125,2492,3566,3420,6713,7036,7777,9774,8739,19,7,2,1079,2428,1234,3679,463,441,1214,511,1728,50,2128,4579,2476,301,2948,487,516,23483,1048,516,804,42,397,21288,5002,2318,4724,6082,6079,12038,14252,56111.133349291056000,20216395.169270691000000
16,455,16,05192014download:16,16,2848,4529,5876,60,28,97,630,1332,606,1542,420,242,857,243,814,161,1122,1165,1517,261,1202,403,551,11180,737,341,745,27,223,9881,3372,1330,2333,3263,3006,6950,6303,5905,7689,6650,17,7,195,649,1162,1072,3911,156,476,3386,145,1159,96,1143,237,1461,268,3596,805,303,17541,1061,410,835,41,356,15530,4714,1709,3269,4362,3641,9521,10723,67972.419821957476000,22518193.003119331000000
17,725,17,05192014download:17,17,4346,7620,6466,67,26,114,821,957,771,1960,589,373,1297,409,1195,225,1918,1549,2516,338,1903,607,797,15123,1781,570,623,45,290,13172,5260,2099,3430,4588,3820,9347,9085,9378,13754,13232,47,2,1,1224,859,1138,2965,189,327,2275,1054,3302,126,3724,6178,7779,289,3297,1387,201,31210,2095,1398,1052,57,552,28779,7585,3394,6842,9548,8870,15294,21070,72424.326817468973000,26399631.501960702000000
18,905,18,05192014download:18,18,6304,11780,6197,163,43,117,1257,1794,1149,2681,1019,352,1265,516,1171,250,2774,1780,2904,488,2689,783,1086,20012,2305,784,680,78,422,12935,11346,3802,4240,5158,3499,12815,11466,9594,15843,17401,19,11,0,1192,4489,2417,6260,702,263,580,572,1932,2422,3491,2934,9659,553,3789,1415,138,37120,2328,919,1745,79,647,30917,11921,4732,7722,10967,9205,20362,22476,101633.268546316220000,35560810.252888039000000
19,465,19,05192014download:19,19,4673,7903,7900,63,31,148,854,1065,939,2604,507,381,1506,476,1494,294,1839,1642,2761,427,2163,623,659,17730,978,383,1011,42,332,16995,3481,1762,3578,5118,4742,10249,10227,11081,13539,10489,13,0,4,460,1981,792,11941,188,334,1128,568,1671,247,3244,893,4748,327,5483,1010,77,31022,1548,640,1333,48,518,27572,7537,3119,6248,8073,6698,16852,18257,73402.894547812568000,26165385.574268129000000
20,314,20,05192014download:20,20,706,1122,1116,11,8,25,141,211,108,366,97,54,164,71,164,45,250,292,401,79,261,89,107,2655,120,30,72,8,59,2574,370,267,584,786,655,1507,1437,2661,2814,1553,2,0,2,126,24,98,1616,444,80,322,166,328,3,305,36,585,33,2368,474,16,6341,259,90,239,8,91,5611,1417,683,1186,1476,1033,3423,3605,44494.150723464372000,13920989.297968732000000
21,560,21,05192014download:21,21,3487,6389,6928,35,19,144,713,863,723,1989,432,331,1262,406,1166,296,1507,1460,2346,332,1553,534,693,14997,611,255,683,27,231,14555,2249,1305,3040,4378,4060,8172,8632,3906,4913,6366,10,2,0,343,2209,279,3225,63,137,1294,179,440,415,1439,721,2368,392,1441,194,34,13390,563,232,744,28,228,12359,2826,1341,2657,3808,3405,7081,8104,65316.778681850759000,22719174.460462868000000
22,742,22,05192014download:22,22,4570,8015,5742,90,24,134,945,1081,764,2009,582,298,1109,402,1037,257,2026,1597,2347,361,1792,534,938,15429,1419,544,578,42,315,12685,5642,2244,3373,4497,3531,9399,8928,5864,15687,12139,19,35,113,4765,2021,2054,4289,394,327,4529,203,1864,219,2154,975,2049,50,1482,1260,4888,29569,1653,842,1129,57,440,24468,9222,4009,6933,8875,6724,18900,14790,86772.748482306939000,32381641.392809197000000
23,128,23,05192014download:23,23,469,1004,1015,9,4,23,104,180,130,207,115,49,165,42,142,32,250,223,335,55,163,68,192,1683,438,134,168,3,62,1534,954,311,461,591,494,1200,1288,204,250,279,0,0,0,18,0,6,75,0,8,14,5,4,0,6,477,12,0,92,14,2,602,88,12,18,0,13,516,217,92,119,137,124,223,510,29121.689050075514000,7842225.452815502900000
24,812,24,05192014download:24,24,6075,10867,6181,141,30,135,1270,1477,1096,2830,686,417,1430,477,1374,270,2474,1619,2854,371,2513,773,886,19140,1616,725,1167,47,428,16433,6690,2781,4369,5378,4223,12080,11043,8480,14199,11512,14,10,1,2109,2403,1595,6173,694,739,1796,495,1210,2723,2626,3079,3520,69,2819,1968,148,29883,1688,873,1204,63,480,25480,8711,3795,6338,8323,6393,17252,16939,74806.912739322899000,29552665.931422267000000
25,768,25,05192014download:25,25,5859,10590,6583,100,25,133,1231,1538,1019,2557,868,376,1326,465,1160,232,2625,1739,2807,523,2572,770,966,19864,1453,676,648,42,349,14188,8844,3325,4136,5234,4070,12120,10912,13881,24366,25690,36,20,12,1845,1080,1752,4013,380,2127,2671,2350,4743,283,7034,3821,21381,279,7845,1057,1208,54610,4219,1508,2499,115,986,47136,16801,7059,11441,16478,14488,27825,36112,72510.295867093810000,27592456.384153940000000
26,680,26,05192014download:26,26,3417,6024,2770,133,19,54,700,1045,570,1373,513,179,611,282,525,140,1415,848,1320,202,1347,442,493,10025,1078,433,405,38,232,5721,6490,2133,2145,2423,1503,6700,5511,12110,29667,49867,19,1275,9968,3032,6811,4527,5750,1284,2866,7239,1569,5020,1193,2795,1922,6301,2416,5013,5520,17124,79621,5116,2239,3184,147,1337,68760,22884,7925,16783,25656,24675,51828,39816,88485.927298956245000,33093730.264001440000000
